Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Services: Professional,PIET RETIEF CORRECTIONAL SERVICES: REPAIR AND RENOVATIONS TO BUILDING AND RELATED SERVICES,18/08/2023,RE-NST23/046,Public Works,Request for Bid(Open-Tender),Mpumalanga,18.08.2023,07.09.2023,30 BROWN STREET - NELSPRUIT - NELSPRUIT - 1200,N/A,AYANDA MKHONZA,ayanda.mkonza@dpw.gov.za,013-753-6318,013-755-1705,Yes,Yes,,PIET RETIEF CORRECTIONAL SERVICE MAIN ENTRACE,https://www.etenders.gov.za/home/Download/?blobName=ee6bd9e6-6f6b-450c-b2e1-a46dc5335f33.pdf&downloadedFileName=scan_2308181030001.pdf
"Electricity, gas, steam and air conditioning","150KVA OUTDOOR STANDBY GENERATOR INSTALLATION FOR ECDC HEAD OFFICES IN OCEAN TERRACE PARK, MOORE STREET, QUIGNEY, EAST LONDON",18/08/2023,ECDC/INFRA/12/072023,Eastern Cape - Eastern Cape Development Corporation,Request for Bid(Open-Tender),Eastern Cape,18.08.2023,18.09.2023,,REQUIRED CIDB GRADING: 3EB OR HIGHER,N. NOREXE,nnorexe@ecdc.co.za,043-704-5671,N/A,Yes,Yes,"Tuesday, 29 August 2023 - 11:00","ECDC Head Offices, Ocean Terrace Park, Moore Street, Quigney, East London",https://www.etenders.gov.za/home/Download/?blobName=9e51899f-af93-4a07-bed9-e63c62136667.pdf&downloadedFileName=GENERATOR+ADVERT.pdf
Construction of buildings,Upgrades to infrastructure at Velankosi Primary School,18/08/2023,ZNTU 01969 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,20.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement 4GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=0c7cb232-6a8c-4c60-9f5f-cbdc56a3e229.pdf&downloadedFileName=Velankosi+PS-Volume+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=089977bb-e17b-4d8b-a1e6-f097171a0277.pdf&downloadedFileName=Velankosi+PS+-Volume+1.pdf"
Services: Building,APPOINTMENT OF A SERVICE PROVIDER FOR THE MAINTENANCE OF THE FIRE EQUIPMENT AT THE DEPARTMENT OF SCIENCE AND INNOVATION (DSI) FOR SIX MONTHS,18/08/2023,RFQ2023-08-05,National Science and Innovation,Request for Proposal,Gauteng,18.08.2023,05.09.2023,Building No. 53 (CSIR South Gate Entrance)   Meiring Naudé Road - Brummeria - PRETORIA - 0001,Please contact odessa.martin@dst.gov.za to forward you the SBD forms if you are interested to quote.,ODESSA MARTIN,odessa.martin@dst.gov.za,012-843-6752,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=bd7c4abf-3e0b-479b-8c20-de027ed00d9b.docx&downloadedFileName=FIRE+EQUPMENT+2023-08-05.docx
Supplies: General,"Supply and deliver irrigation material  for ARC Infruitec to Limpopo ,  as per attached specification",18/08/2023,RFQ 016294 -ARC-Infruitec,Agricultural Research Council,Request for Quotation,Limpopo,18.08.2023,24.08.2023,"ARC-ITSC ,  ARC-Levubu Research Farm  - Limpopo - Limpopo - 0929",Quotations can be sent to Mgwatyul@arc.agric.za,Linda Mgwatyu,Mgwatyul@arc.agric.za,021-809-3172,021-809-3439,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=8870fbf9-18ba-401e-840b-d584b791a78d.pdf&downloadedFileName=Irrigation+specification+Limpopo.pdf
Construction of buildings,Upgrades to infrastructure at Enkembeni Primary School,18/08/2023,ZNTU 01966 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,20.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement 5GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=fce4e4eb-e7b6-4134-bc39-bb10bdff9d9c.pdf&downloadedFileName=Enkembeni+PS-Volume+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=8cad7581-94cd-4766-bf38-dac4fb59401d.pdf&downloadedFileName=Enkembeni+PS+-Volume+1.pdf"
Education,PROVISION OF EZEMVELO’S CHAINSAW TRAINING FOR HANDYMAN AS AND WHEN REQUIRED FOR THE PERIOD OF THREE (03) YEARS AT MIDMAR TRAINING CENTRE.,18/08/2023,0010170924,Kwa-Zulu Natal - Ezemvelo KwaZulu-Natal Wildlife,Request for Quotation,KwaZulu-Natal,18.08.2023,25.08.2023,Midmar Resort - Howick - Howick - 3201,N/A,nobuhle Magubane,hlelan@kznwildlife.com,033-843-1833,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=be0c47d8-862b-4615-b1b3-05e41d6fcdb8.pdf&downloadedFileName=CHAINSAW+DOCUMENT+%28002%29.pdf
Construction of buildings,Upgrades to infrastructure at Mthambalala Sec School,18/08/2023,ZNTU 04134 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,20.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement 4GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=6b2123dc-633a-4ac1-be96-c1874202de4b.pdf&downloadedFileName=MTHAMBALALA+SS+-+VOL+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=47e93bac-6148-42d1-babc-f2cc447419ea.pdf&downloadedFileName=MTHAMBALALA+SS+-+VOL+1.pdf"
Construction of buildings,Upgrades to infrastructure at Magadlela Primary School,18/08/2023,ZNTU 04238 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,20.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement 5GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=21e615fa-fb6c-453b-95e8-830a46fc2084.pdf&downloadedFileName=MAGADLELA+PS+-+VOL2.pdf, https://www.etenders.gov.za/home/Download/?blobName=6d6a47b6-7e6a-4b84-bece-a893bcccf249.pdf&downloadedFileName=MAGADLELA+PS+-+VOL+1.pdf"
Other service activities,LEASE OF MULTI-FUNCTIONAL PRINTING SERVICES FOR A PERIOD OF 36 MONTHS,18/08/2023,NQULM13/2023-2024,Nquthu Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,13.09.2023,LOT 83/11 MDLALOSE STREET - NQUTHU - NQUTHU - 3135,N/A,MR M Ntshangase,it@nquthu.gov.za,034-271-6100,034-271-6111,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=ff3f1dfb-cc30-4e8e-9fef-3b33a1b17134.doc&downloadedFileName=tender+document+-++PROVISION+OF+PRINTING+EQUIPMENT+FOR+36+MONTHS+FOR+NQUTHU+MUNICIPALITY.doc
Printing and reproduction of recorded media,"REQUEST FOR QUOTATION FOR THE REMOVAL OF EXISTING BOARDS AND SUPPLY, DELIVERY AND INSTALLATION OF CORPORATE SIGNAGE BOARDS FOR LEJWELEPUTSWA DISTRICT MUNICIPALITY",18/08/2023,RFQ 522-08-2023,Lejweleputswa District Municipality,Request for Quotation,Free State,18.08.2023,25.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Mr. L.D Linoko,duncan@lejwe.co.za,057-101-0187,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=9f44b4bc-bd65-4675-a2e2-28696d635302.pdf&downloadedFileName=RFQ+522082023-REQUEST+FOR+QUOTATION+FOR+THE+REMOVAL+OF+EXISTING.pdf, https://www.etenders.gov.za/home/Download/?blobName=1986cae9-58d2-4768-a97f-ab5cabfbe75e.pdf&downloadedFileName=SPECIFICATIONS-RFQ+522082023-REQUEST+FOR+QUOTATION+FOR+THE+REMO.pdf, https://www.etenders.gov.za/home/Download/?blobName=7749c2e0-8ee3-4464-a5d0-fe1875a238c2.pdf&downloadedFileName=MBD+1-RFQ+522082023-REQUEST+FOR+QUOTATION+FOR+THE+REMOVAL+OF+EX.pdf"
Construction of buildings,UPGRADES TO INFRASTRUCTURE AT NOJU SENIOR SECONDARY SCHOOL,18/08/2023,ZNTU 02095 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,21.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement is 5GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=3b139bf1-377a-454d-8ebe-a93ee8261599.pdf&downloadedFileName=Noju+SS-Volume+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=d2fe4809-1f6e-415a-ac63-bc46aaf07242.pdf&downloadedFileName=Noju+SS-Volume+1.pdf"
Construction,CONSTRUCTION / UPGRADING OF ABLUTION FACILITIES AT RURAL SCHOOLS,18/08/2023,T 2023/013,Cape Winelands District Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,08.09.2023,,N/A,Christo Swart,christo@capewinelands.gov.za,023-348-2381,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=df5ad9be-b29d-4f79-8ad3-9df364825f83.pdf&downloadedFileName=T+2023+013+DOCUMENT.pdf
Construction of buildings,Water and Sanitation at Nethezeka Primary School,18/08/2023,ZNTU 02493 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,21.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement is 5GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=ab561643-0aeb-4238-adf6-9c4b7f3c944a.pdf&downloadedFileName=NETHEZEKA+PS+-+VOL+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=0a71f73f-545d-4277-b18f-e1d52fe89f39.pdf&downloadedFileName=NETHEZEKA+PS+-+VOL+2.pdf"
Construction,PIONEER SCHOOL NON-MOTORISED TRANSPORT IMPROVEMENTS.,18/08/2023,T 2023/015,Cape Winelands District Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,08.09.2023,,N/A,Christo Swart,christo@capewinelands.gov.za,023-348-2381,N/A,Yes,NO,"Friday, 01 September 2023 - 11:00","C/o Porter and Tulbach Street, Worcester",https://www.etenders.gov.za/home/Download/?blobName=910d408f-2b82-4978-85fc-3f4dce9dab45.pdf&downloadedFileName=1.++T+2023+015+DOCUMENT.pdf
Construction,"DEVELOPMENT OF A SPORT FIELD AT SLANGHOEK PRIMARY, RAWSONVILLE",18/08/2023,T 2023/016,Cape Winelands District Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,08.09.2023,,N/A,Christo Swart,christo@capewinelands.gov.za,023-348-2381,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e2d3b726-4cf0-47d5-a74d-b743b907ed52.pdf&downloadedFileName=T+2023+016+DOCUMENT.pdf
Supplies: General,"SUPPLY, DELIVERY, INSTALLATION AND COMMISSIONING OF DIGITAL COLOUR COPIERS / MULTI FUNCTIONAL DEVICES AND IMAGE SCANNERS TOGETHER WITH ALL-INCLUSIVE MAINTENANCE AGREEMENTS FOR THE PERIOD ENDING 30 JUNE 2026",18/08/2023,T 2023/024,Cape Winelands District Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,22.09.2023,,N/A,Dorian Heath,dorian@capewinelands.gov.za,023-348-2305,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=29e1e25a-3cb7-4ac4-90e1-83c0ba90873a.pdf&downloadedFileName=T+2023+024+DOCUMENT.pdf
Construction of buildings,Water and Sanitation at Nkamelwane Primary School,18/08/2023,ZNTU 02334 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,21.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement is 4GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=923457c0-823a-481b-8f0e-2e01d852d363.pdf&downloadedFileName=NKAMELWANE+PS+-+VOL+1.pdf, https://www.etenders.gov.za/home/Download/?blobName=30ae297c-2fe4-43f6-8d24-a7a03408275d.pdf&downloadedFileName=NKAMELWANE+PS+-+VOL+2.pdf"
"Water supply sewerage, waste management and remediation activities","Appointment of a panel of service providers to supply, deliver and maintain Rental Chemical Mobile Toilets at selected informal settlements around Dr Kenneth Kaunda District Municipality for a period of 36 (thirty six) months on as and when basis",18/08/2023,KKDM 01/23,Dr Kenneth Kaunda District Municipality,Request for Quotation,North West,18.08.2023,06.09.2023,Patmore Road Dr Kenneth Kaunda District Municipality Offices - Klerksdorp - Klerksdorp - 2570,"Tender documents will be available on the day of the compulsory briefing session at a non-refundable tender fee of R500.  The tender will be evaluated on functionality with the minimum score of 70 points for further evaluation.  The 80/20 point system will apply (80=price and 20 specific goals which includes, women=5 youth=5 military veterans=5 and township enterprises =5points)",Mr T Tshukudu,admin@kaundadistrict.gov.za,018-473-8000,018-473-2523,Yes,Yes,"Wednesday, 23 August 2023 - 10:00","Dr Kenneth Kaunda District Municipal Office, Council Chamber, Patmore Road, Orkney",https://www.etenders.gov.za/home/Download/?blobName=61d67c2d-0c7f-4bac-9d1a-060b725da3b6.pdf&downloadedFileName=TENDER+KKDM1+23.pdf
Administrative and support activities,"VARIOUS SPECIALISED FLEET MANAGEMENT SERVICES FOR THE SUPPLY AND DELIVERY OF SPARE PARTS OR REPLACEMENT OF COMPONENTS OF MOTOR VEHICLES, EARTHMOVING AND ROAD CONSTRUCTION PLANT AND RELATED SERVICES FOR A TWELVE-MONTH PERIOD FOR THE DIVISION ROADS",18/08/2023,T 2023/033,Cape Winelands District Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,08.09.2023,,N/A,Yuri Levendal,yuri@capewinelands.gov.za02,021-871-3231,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=68736e03-1342-44e5-9ad4-75a5af7b4888.pdf&downloadedFileName=T+2023+033+DOCUMENT.pdf
Construction of buildings,Water and Sanitation at Msiyane High School,18/08/2023,ZNTU 02338 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,21.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Requirement 4GB or Higher,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=996c68c3-5a94-411e-b3c6-081f88de22b9.pdf&downloadedFileName=MSIYANE+HS+-+VOL1.pdf, https://www.etenders.gov.za/home/Download/?blobName=b8a30ef6-340f-475f-bf1f-a6b0803c6f64.pdf&downloadedFileName=MSIYANE+HS+-+VOL2.pdf"
Supplies: Electrical Equipment,"SUPPLY, DELIVER AND INSTALLATION OF NETWORK CABINETS, SWITCHES AND ACCESSORIES IN BUILDINGS SITUATED THROUGHOUT THE CAPE WINELANDS DISTRICT MUNICIPALITY, WITHIN A 12-MONTH PERIOD",18/08/2023,T 2023/061,Cape Winelands District Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,01.09.2023,,N/A,Abdul Gabier,agabier@capewinelands.gov.za,021-888-5171,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=147c65c5-2bff-4861-ade8-4afdbd4b2f0a.pdf&downloadedFileName=T+2023+061+DOCUMENT.pdf
Supplies: Clothing/Textiles/Footwear,SUPPLY AND DELIVERY OF 300 OF BLANKETS FOR DISASTER RELIEF,18/08/2023,RFQ 523-08-2023,Lejweleputswa District Municipality,Request for Quotation,Free State,18.08.2023,25.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Ms. Yolette Fransman,secehsdm@lejwe.co.za,057-101-0187,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=ba6d24ec-9ebf-487c-854d-0e63f591c72f.pdf&downloadedFileName=SPECIFICATIONS-+RFQ+523082023-+SUPPLY+AND+DELIVERY+OF+300+BLANK.pdf, https://www.etenders.gov.za/home/Download/?blobName=b4cc4012-23a9-482f-9903-78b8ffd16848.pdf&downloadedFileName=RFQ+523082023-+SUPPLY+AND+DELIVERY+OF+300+BLANKETS+FOR+DISASTER.pdf, https://www.etenders.gov.za/home/Download/?blobName=352582f4-515f-4c4f-ae75-ca8a0d38e6fb.pdf&downloadedFileName=MBD+1-+RFQ+523082023-+SUPPLY+AND+DELIVERY+OF+300+BLANKETS+FOR+D.pdf"
Supplies: General,SUPPLY AND DELIVERY OF FOOTWEAR TO MUNICIPAL HEALTH SERVICES FOR THE PERIOD ENDING 30 JUNE 2024,18/08/2023,T 2023/082,Cape Winelands District Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,01.09.2023,,N/A,Peter  Rogers,peter@capewinelands.gov.za,023-348-2326,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=a5761055-e9f1-4df7-b1ed-926e12ca2992.pdf&downloadedFileName=T+2023+082+DOCUMENT+.pdf
Supplies: General,SUPPLY AND DELIVERY OF 300 MATTRESS FOR BUNK BEDS FOR DISASTER RELIEF.,18/08/2023,RFQ 524-08-2023,Lejweleputswa District Municipality,Request for Quotation,Free State,18.08.2023,25.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Ms. Yolette Fransman,secehsdm@lejwe.co.za,057-101-0187,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=11752b0a-852a-4500-97d1-8339b4625220.pdf&downloadedFileName=RFQ+524082023-+SUPPLY+AND+DELIVERY+OF+300+MATTRESS+FOR+BUNK+BED.pdf, https://www.etenders.gov.za/home/Download/?blobName=a1e0aa5d-1eb3-4622-aeaf-ef5f7329f3bc.pdf&downloadedFileName=SPECIFICATIONS-+RFQ+524082023-+SUPPLY+AND+DELIVERY+OF+300+MATTR.pdf, https://www.etenders.gov.za/home/Download/?blobName=b502c2e3-3a1d-4025-b9c8-faf7ac738fad.pdf&downloadedFileName=MBD+1-+RFQ+524082023-+SUPPLY+AND+DELIVERY+OF+300+MATTRESS+FOR+B.pdf"
Construction of buildings,Water and Sanitation at Magwegwana Primary School,18/08/2023,ZNTU 04125 W,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,21.09.2023,Prince Mangosuthu Street - Ulundi - ULUNDI - 3838,Water and Sanitation at Magwegwana Primary School,S.S. Mbatha,sindi.mbatha@kznworks.gov.za,035-874-3353,035-874-3357,Yes,Yes,"Thursday, 31 August 2023 - 11:00",L.A. Chamber - Ulundi,"https://www.etenders.gov.za/home/Download/?blobName=ad835ffa-67ff-4daa-bf1c-82c235c6ee22.pdf&downloadedFileName=MAGWEGWANA+SS+-+VOL+2.pdf, https://www.etenders.gov.za/home/Download/?blobName=03dbe319-6003-4978-a62a-9c00ad6159ac.pdf&downloadedFileName=MAGWEGWANA+SS+-+VOL+1.pdf"
Supplies: General,- SUPPLY AND DELIVERY OF THREE (3) EMPTY SHIPPING,18/08/2023,RFQ 525-08-2023,Lejweleputswa District Municipality,Request for Quotation,Free State,18.08.2023,25.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Ms. Yolette Fransman,secehsdm@lejwe.co.za,057-101-0187,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=fcc24aa1-cf45-47d0-9842-74b615785347.pdf&downloadedFileName=MBD+1-+RFQ+525082023-+SUPPLY+AND+DELIVERY+OF+THREE+%283%29+EMPTY+SH.pdf, https://www.etenders.gov.za/home/Download/?blobName=8365875a-e451-4b7c-b57e-ab0dc600c271.pdf&downloadedFileName=RFQ+525082023-+SUPPLY+AND+DELIVERY+OF+THREE+%283%29+EMPTY+SHIPPING+.pdf, https://www.etenders.gov.za/home/Download/?blobName=d8e338f0-9d7b-47b9-8405-c192a87b1cff.pdf&downloadedFileName=SPECIFICATIONS-+RFQ+525082023-+SUPPLY+AND+DELIVERY+OF+THREE+%283%29.pdf"
Information and communication,Request for Quotation for a design of a gantry structure.,18/08/2023,RFQ-FIN-SCM-003,South African Nuclear Energy Corporation Limited,Request for Quotation,North West,18.08.2023,01.09.2023,"Elias Motsoaledi  street extension (Church west) R104 - Pelindaba , Broederstroom - Madibeng Municipality. - 0000",N/A,Catherine Matima,Catherine.Matima@necsa.co.za,012-305-3027,012-305-4000,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=686d3c8e-774e-49ed-8d3e-7a987dcb32ed.pdf&downloadedFileName=2FIN-SCM-RFQ-0003+Request+for+Quotation+for+a+design+of+a+gantry+structure.pdf
Supplies: Computer Equipment,"SUPPLY AND DELIVERY OF DESKTOPS, LAPTOPS AND NOTEP-PADS",18/08/2023,RFQ 526-08-2023,Lejweleputswa District Municipality,Request for Quotation,Free State,18.08.2023,25.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Mr. M.G Rantsatsi,moletsane@lejwe.co.za,057-101-0187,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=f8b6bc49-1497-4745-94e9-192dc95fe48a.pdf&downloadedFileName=SPECIFICATIONS-+RFQ+526082023-+SUPPLY+AND+DELIVERY+OF+DESKTOPS%2C.pdf, https://www.etenders.gov.za/home/Download/?blobName=d8f25cb0-1e69-4fc6-9ecc-9f3d7b3451e6.pdf&downloadedFileName=MBD+1-+RFQ+526082023-+SUPPLY+AND+DELIVERY+OF+DESKTOPS%2C+LAPTOPS+.pdf, https://www.etenders.gov.za/home/Download/?blobName=786defab-38d2-4a69-a314-bda5dc727843.pdf&downloadedFileName=RFQ+526082023-+SUPPLY+AND+DELIVERY+OF+DESKTOPS%2C+LAPTOPS+AND+NOT.pdf"
Education,Provision Of Ezemvelo’s Basic Understanding Of The Occupational Health & Safety In The Workplace At Midmar Training Center Howick,18/08/2023,0010170921,Kwa-Zulu Natal - Ezemvelo KwaZulu-Natal Wildlife,Request for Quotation,KwaZulu-Natal,18.08.2023,25.08.2023,Midmar Resort - Howick - Howick - 3201,N/A,Nobuhle Magubane,hlelan@kznwildlife.com,033-845-1833,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e1637771-f34e-4b2e-a81d-63b3eff8bcd0.pdf&downloadedFileName=THE+OCCUPATIONAL+HEALTH+%26+SAFETY+IN+THE+WORKPLACE+pdf.pdf
Services: General,THE APPLICATION OF ROAD MARKING PAINT IN ACCORDANCE WITH SOUTH AFRICAN ROAD TRAFFIC SIGNS MANUAL (SARTSM),18/08/2023,TDR18/2023/2024,Mossel Bay Municipality,Request for Bid(Open-Tender),Western Cape,18.08.2023,22.09.2023,101 March Street - Mossel Bay Municipality - Mossel Bay - 6500,N/A,Mr Robert Jansen,rjansen@mosselbay.gov.za,044-606-5201,000-000-0000,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=0aaa4502-9348-4985-93d2-41ad3a93fe96.pdf&downloadedFileName=18-2023-2024+TENDER+DOCUMENT.pdf, https://www.etenders.gov.za/home/Download/?blobName=e3af9850-68ed-4cb1-b8d4-55c66b72f3ea.pdf&downloadedFileName=18-2023-2024+Advert.pdf"
Supplies: Computer Equipment,SUPPLY AND DELIVERY OF 3 X 5000L WATER TANKS IN NALA REGION,18/08/2023,RFQ  527-08-2023,Lejweleputswa District Municipality,Request for Quotation,Free State,18.08.2023,25.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Mr. M. Ngoase,ngoasemanti1234@gmail.com,057-101-0187,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=1678342e-2fff-4d70-a1e6-71b33db46408.pdf&downloadedFileName=MBD+1-+RFQ+527082023-+SUPPLY%2C+DELIVERY+AND+INSTALLATION+THREE+%28.pdf, https://www.etenders.gov.za/home/Download/?blobName=1fd3ed55-ef04-4def-baa1-a0a1d81b996c.pdf&downloadedFileName=SPECIFICATIONS-+RFQ+527082023-+SUPPLY%2C+DELIVERY+AND+INSTALLATIO.pdf, https://www.etenders.gov.za/home/Download/?blobName=1fe251c7-7b37-412a-99be-d2700f4ff404.pdf&downloadedFileName=RFQ+527082023-+SUPPLY%2C+DELIVERY+AND+INSTALLATION+THREE+%283%29+5000.pdf"
Other service activities,Replacement of Wallpaper on Level 5,18/08/2023,RFQ10405964,Rand Water,Request for Quotation,Gauteng,18.08.2023,07.09.2023,522 Impala Rd - Johannesburg South - Rietvlei - 2058,Please note quotations must be submitted to: scmquotations@randwater.co.za,Nkululeko Mkhabela,nmkhabel@randwater.co.za,011-682-7223,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=dc35f6f4-bf7f-497f-bc9a-b1738b1a9cc5.zip&downloadedFileName=10405964.zip
Other service activities,SUPPLY AND INSTALLATION OF 2x TRAFFIC SIGNALS at UNDERBERG,18/08/2023,COMM-B025/23/24,Dr Nkosazana Dlamini Zuma Local Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,18.08.2023,08.09.2023,Main Street - Creighton - Creighton - 3263,"NB: The offers must remain valid for 90 days from the closing date for submission of bids 

Dr Nkosazana Dlamini Zuma Municipality does not bind itself to accept the lowest or any bid and reserves the right to accept the whole or any part of the Bid.",Miss N Holiwe,holiwen@ndz.gov.za,039-833-1038,039-833-1179,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=636c2b80-a98a-4f92-aa0d-62691f532807.docx&downloadedFileName=NDZ+ADVERTS.docx
Supplies: General,SUPPLY AND DELIVERY OF 3 X 5000L WATER TANKS IN MASILONYANA REGION,18/08/2023,RFQ 528-08-2023,Lejweleputswa District Municipality,Request for Quotation,Free State,18.08.2023,25.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Mr. M. Ngoase,ngoasemanti1234@gmail.com,057-101-0187,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=ed3c5c2c-2b01-40d6-8557-61467b097326.pdf&downloadedFileName=RFQ+528082023-+SUPPLY%2C+DELIVERY+AND+INSTALLATION+THREE+%283%29+5000.pdf, https://www.etenders.gov.za/home/Download/?blobName=b2e5749f-7a5b-42fd-9e5d-728f3808125a.pdf&downloadedFileName=SPECIFICATIONS-+RFQ+528082023-+SUPPLY%2C+DELIVERY+AND+INSTALLATIO.pdf, https://www.etenders.gov.za/home/Download/?blobName=514c065e-9109-4696-a87b-7bb56475ec51.pdf&downloadedFileName=MBD+1-+RFQ+528082023-+SUPPLY%2C+DELIVERY+AND+INSTALLATION+THREE+%28.pdf"
