Services,Description,Date,Tender Number,Department,Tender Type,Province,Date published,Closing date,Place where service will be required,Special conditions,Contact person,Contact email,Contact phone,Contact fax,Briefing Session,Is briefing required,Briefing date and time,Briefing venue,Tender documents
Services: General,Provision of auto valet services as and when required for a period of 36 months,25/08/2023,1J-4930,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,29.09.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"There will be no clarification meeting. Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-09-14. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-09-21.

Zinhle Mjadu
031-322 5094",ZINHLE MJADU,ZINHLE.MJADU@DURBAN.GOV.ZA,031-322-5094,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=9819b1ef-a9db-4c79-ada7-ceb3b0bf421d.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Construction,Qebe / silindini  500 anti-poverty sites: appointment of a well- established turnkey contractor to construct 150 houses using conventional building method in qebe/silindini  500 (150) housing projects within dr ab xuma local municipality- chris hani region,25/08/2023,SCMU23/24-025,Eastern Cape - Human Settlements,Request for Bid(Open-Tender),Eastern Cape,25.08.2023,18.09.2023,,N/A,Mr Xolile Mpupa,xolilem@ecdhs.gov.za,043-711-9641,N/A,Yes,Yes,"Friday, 01 September 2023 - 11:00","Dr AB Xuma Town Hall, Engcobo 58 Union Street, Ngcobo",https://www.etenders.gov.za/home/Download/?blobName=f68978aa-f6c6-4de0-afdd-a2d7fe1128c7.pdf&downloadedFileName=TOR-QEBE.pdf
Specialised construction activities,Refurbishing of kraals,25/08/2023,RFQ-016556,Agricultural Research Council,Request for Quotation,National,25.08.2023,07.09.2023,"Old Olifantsfontein Road, Irene - Centurion - Pretoria - 0062",N/A,Nkateko Khosa,khosan@arc.agric.za,012-672-9111,012-672-9111,Yes,Yes,,"Centurion, Irene, Old Olifantsfontein Road","https://www.etenders.gov.za/home/Download/?blobName=a8509005-32db-49b1-b08d-0574b347fe6a.pdf&downloadedFileName=RFQ-+kraals.pdf, https://www.etenders.gov.za/home/Download/?blobName=001d4a73-1bfa-413d-8296-7597f12b6e03.pdf&downloadedFileName=SBD+LOCAL+CONTENT.pdf, https://www.etenders.gov.za/home/Download/?blobName=10a00f7e-0adf-48c3-8584-8aecd5042192.pdf&downloadedFileName=Standard+Bidding+Document+%28SDB%29+4_Annexure+A.pdf, https://www.etenders.gov.za/home/Download/?blobName=b2cca95b-dd90-43ab-a158-d53c085e326d.pdf&downloadedFileName=SBD+6.1+IN+TERMS+OF+PPR2022.pdf"
Services: General,Provision of tyre puncture repair services as and when required for a period of 36 months,25/08/2023,1J-21710,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,29.09.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"There will be no clarification meeting. Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-09-14. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-09-21.

Zinhle Mjadu
031-322 5094",ZINHLE MJADU,ZINHLE.MJADU@DURBAN.GOV.ZA,031-322-5094,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=e609d578-f18b-45de-b8ad-afa3400fa401.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
"Electricity, gas, steam and air conditioning",Industrial stainless steel fans with light,25/08/2023,RFQ-016555,Agricultural Research Council,Request for Quotation,Gauteng,25.08.2023,06.09.2023,"Old Olifantsfontein Road, Irene - Centurion - Pretoria - 0062",N/A,Nkateko Khosa,khosan@arc.agric.za,012-672-9111,012-672-9111,Yes,Yes,"Wednesday, 06 September 2023 - 12:00","Centurion, Irene, Old Olifantsfontein Road","https://www.etenders.gov.za/home/Download/?blobName=7b343b90-9a39-4f90-9f97-285016997d86.pdf&downloadedFileName=RFQ-+FANS.pdf, https://www.etenders.gov.za/home/Download/?blobName=ec6ee1e2-6cd0-43b3-b41d-2b8dc56d74d8.pdf&downloadedFileName=SBD+6.1+IN+TERMS+OF+PPR2022.pdf, https://www.etenders.gov.za/home/Download/?blobName=c87fef70-bc53-46ab-9fe1-d09cff083e91.pdf&downloadedFileName=Standard+Bidding+Document+%28SDB%29+4_Annexure+A.pdf, https://www.etenders.gov.za/home/Download/?blobName=c8562b81-d1e7-4a05-a53f-f2634c226d18.pdf&downloadedFileName=12+Fans+Specifications+%281%29.pdf"
Construction,"Elliotdale 400 housing project: appointment of a turnkey contractor for inception, planning & design, construction of internal services, and construction of 400 new units at elliotdale in mbhashe municipality under amathole region",25/08/2023,SCMU23/24-027,Eastern Cape - Human Settlements,Request for Bid(Open-Tender),Eastern Cape,25.08.2023,18.09.2023,,N/A,Mr Xolile Mpupa,xolilem@ecdhs.gov.za,043-711-9641,N/A,Yes,Yes,"Thursday, 31 August 2023 - 11:00","Mbhashe Municipality Offices Elliotdale Unit, Elliotdale.",https://www.etenders.gov.za/home/Download/?blobName=dde17d80-cad4-48a2-8bc8-737349e5bea0.pdf&downloadedFileName=TOR-ELLIOTDALE.pdf
Supplies: General,Supply and delivery of fertilizer(arc-tsc)addo,25/08/2023,RFQ-TSC-078008,Agricultural Research Council,Request for Quotation,Eastern Cape,25.08.2023,01.09.2023,Addo Research Station  Barkley Bridge Road - Addo - Addo - 6105,N/A,Margaret Balaka,BalakaG@arc.agric.za,013-753-7074,013-753-7082,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=591c7e3d-b4aa-4cb5-8b4d-75246d1f29d0.docx&downloadedFileName=RFQ-ITSC-078008%28Fertilizer+%29ADDO.docx, https://www.etenders.gov.za/home/Download/?blobName=cb988ce8-5490-4a49-aef7-d4fbb3c248ac.pdf&downloadedFileName=SBD+FORMS.pdf"
Construction,Dordrecht – sinako zwelethemba 289 subs- 139 (91 units): appointment of a turnkey contractor on construction of 91 new houses at dordrecht under emalahleni local municipality – chris hani region.,25/08/2023,SCMU23/24-026,Eastern Cape - Human Settlements,Request for Bid(Open-Tender),Eastern Cape,25.08.2023,18.09.2023,,N/A,Mr Xolile Mpupa,xolilem@ecdhs.gov.za,043-711-9641,N/A,Yes,Yes,"Thursday, 31 August 2023 - 11:00",Converging at Emalahleni Local Municipality Town Hall in Dordrecht,https://www.etenders.gov.za/home/Download/?blobName=aade0aed-4b82-4a8d-ae5a-6f2c6acd38d0.pdf&downloadedFileName=TOR-SINAKO.pdf
Supplies: General,Supply and delivery of pest control(arc-tsc)addo,25/08/2023,RFQ-TSC- 078011,Agricultural Research Council,Request for Quotation,Eastern Cape,25.08.2023,01.09.2023,Addo Research Station  Barkley Bridge Road - Addo - Addo - 6105,N/A,Margaret Balaka,BalakaG@arc.agric.za,013-753-7074,013-753-7082,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=546c7047-3ccb-4b5d-9e6c-470970790cea.docx&downloadedFileName=RFQ-ITSC-078011%28Pest+control+%29ADDO.docx, https://www.etenders.gov.za/home/Download/?blobName=42034094-e90e-4107-872c-99b041b67b21.pdf&downloadedFileName=SBD+FORMS.pdf"
Services: Professional,Nt013 - 2023 appointment of a higher learning institution to provide leadership and management development programmes to the national treasury for a period of 3 years,25/08/2023,NT013-2023,National Treasury,Request for Bid(Open-Tender),Gauteng,25.08.2023,18.09.2023,240 Madiba Street - Pretoria - Pretoria - 0001,N/A,Siphesihle Nyandeni,siphesihle.nyandeni@treasury.gov.za,012-315-5433,012-315-5900,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=c6d18733-1411-4bb3-9200-142c029357a9.pdf&downloadedFileName=NT013-2023+Bid+Document.pdf
Construction,"Refurbishment of building, mechanical and electrical infrastructure at the dimbaza wastewater treatment works –phase 1
required grading 6 gb or higher",25/08/2023,ECDC/INFRA/14/072023,Eastern Cape - Eastern Cape Development Corporation,Request for Bid(Open-Tender),Eastern Cape,25.08.2023,26.09.2023,DIMBAZA - DIMBAZA - KING WILLIAMS TOWN - 5600,THE CIDB GRADING FOR THIS TENDER IS 6 GB OR HIGHER,BUSISIWE FUKWENI,bfukweni@ecdc.co.za,043-704-5644,043-704-5644,Yes,Yes,"Friday, 08 September 2023 - 11:00","Wastewater  Treatment Works in Dimbaza GPS co-ordinates of the site are 32°51'14.09""S and 27°14'6.12",https://www.etenders.gov.za/home/Download/?blobName=d4e56513-7cef-4d20-80ff-8214f8910160.docx&downloadedFileName=BID+NOTICES+WASTE+WATER.docx
Supplies: Electrical Equipment,Supply and delivery of 200kva mobile generator,25/08/2023,BV1045/2023,Breede Valley Municipality,Request for Bid(Open-Tender),Western Cape,25.08.2023,15.09.2023,BREEDE VALLEY MUNICIPALITY  - WORCESTER - WORCESTER - 6850,N/A,liezl plaatjies,lplaatjies@bvm.gov.za,023-348-2967,N/A,Yes,Yes,"Tuesday, 05 September 2023 - 11:00",MICROSOFT TEAMS,https://www.etenders.gov.za/home/Download/?blobName=89134ef5-7e71-4a0c-bf11-2a3bd0090c48.pdf&downloadedFileName=BID+NOTICE+AND+INVITATION+-+BV1045.pdf
Repair and installation of machinery and equipment,Supply and refurbishment of coal plant and fly ash overland conveyors gearboxes on an as and when required basis for a period of 5 years - this tender refers to tender published on 27 july 2023. note extension of closing date to 05/09/2023. all tender documents remains unchanged.,25/08/2023,MPKRI10762GX Tender extended,ESKOM,Request for Bid(Open-Tender),Mpumalanga,25.08.2023,05.09.2023,Bethal Ogies Road - Kriel - Kriel - 2271,N/A,Sibusiso Sithole,sithols11@eskom.co.za,017-615-2087,N/A,Yes,Yes,,MS Teams,"https://www.etenders.gov.za/home/Download/?blobName=03b7e433-1ef9-4ac3-8b7b-0c66c5e7e8bd.pdf&downloadedFileName=NEC+Supply+and+Refurbishment+of+Coal+Plant+and+Fly+Ash+Overland+Conveyors+Gearboxes+on+an+As+and+When+Required+Basis+for+a+Period+of+5+Years..pdf, https://www.etenders.gov.za/home/Download/?blobName=4bf33690-a83d-4484-9868-2ea712137cd1.pdf&downloadedFileName=CLARIFICATION+NR+1+MPKRI10762GX+08.08.2023.pdf, https://www.etenders.gov.za/home/Download/?blobName=92abe937-f9ff-4656-8035-4acec40aa248.doc&downloadedFileName=Commercial+Code+of+Ethics+32-527.doc, https://www.etenders.gov.za/home/Download/?blobName=6348c6dd-a9e4-4104-91b3-596f34efdd5a.pdf&downloadedFileName=Commercial+Non-Disclosure+Agreement+%28NDA%29+Vendors+MPKRI10523GX.pdf, https://www.etenders.gov.za/home/Download/?blobName=d9739b5e-19ff-4e68-9fad-7a2cb79ca2b9.pdf&downloadedFileName=Affidavit+Example.pdf, https://www.etenders.gov.za/home/Download/?blobName=f174bf7c-0981-4c81-b6d8-80575328a56c.pdf&downloadedFileName=Commercial+Supplier+Integrity+Pact+240-113650212+June+2016.pdf, https://www.etenders.gov.za/home/Download/?blobName=732db7bf-edd7-4e18-b772-84fff1ef7b01.docx&downloadedFileName=Hazard+list.docx, https://www.etenders.gov.za/home/Download/?blobName=0b89a430-e669-434c-bb1d-a5469587b6f4.pdf&downloadedFileName=Notification+NR+1+-++Site+Visit.pdf, https://www.etenders.gov.za/home/Download/?blobName=55e905d2-a217-41bb-9aad-aa6a6d6fd9e0.pdf&downloadedFileName=Kriel+Power+Station+Refurbishment+of+Coal+Plant+Spares+on+an+As+and+When+Required+Basis+for+a+Period+of+5+Years+Technical+Evaluation+Strategy+%28002%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=84ad540a-9105-4386-9c26-b761aa1c6f19.docx&downloadedFileName=240-68099512+Form+A_Cat+2_+Rev+9.docx, https://www.etenders.gov.za/home/Download/?blobName=57752bc4-4bf8-4141-85be-bc113a7b6d5c.pdf&downloadedFileName=NOTIFICATION+NR2+MPKRI10762+EXTENSION+OF+TENDER+CLOSING+DATE.pdf, https://www.etenders.gov.za/home/Download/?blobName=42c6a01d-91a9-4c46-974c-bfddd9694c75.pdf&downloadedFileName=Kriel+Power+Station+Refurbishment+of+Coal+Plant+Spares+on+an+As+and+When+Required+Basis+for+a+Period+of+5+Years+Scope+of+Work.pdf, https://www.etenders.gov.za/home/Download/?blobName=f621d22b-432e-404d-8d51-da04a9e79abf.docx&downloadedFileName=240-77471969.docx+Annexure+C2+Medium+risk%281%29.docx, https://www.etenders.gov.za/home/Download/?blobName=5a7472c1-d931-4d82-8143-e8c856306a29.pdf&downloadedFileName=Invitation+to+Tender+MPKRI10762GX+Rev.1.pdf, https://www.etenders.gov.za/home/Download/?blobName=0c3565f9-57a6-4eac-b2f7-ffbb46e649a5.pdf&downloadedFileName=Commercial+Eskom+Standard+Conditions+of+Tender+Rev+8+20+June+2018.pdf"
Construction,Supply & deliver concrete pipes and rubber collars for area office vulindlela,25/08/2023,ZNB02052/00000/00/GEN/23/T,Kwazulu Natal - Transport,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,28.09.2023,01 OLD CEDARA ROAD - MERRIVALE - Pietermaritzburg - 3200,N/A,Gillian Whyte,Gillian.whyte@kzntransport.gov.za,033-940-4800,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=58f6cd03-8c80-429b-8d36-f0b53229271a.pdf&downloadedFileName=ZNB02052+-Concrete+pipes+-+Vulindlela.pdf
Supplies: General,"Supply and delivery of opel, chevrolet and isuzu spares, provision of services and repairs to vehicles as and when required for a period of 36 months",25/08/2023,1J-25519,Ethekwini Metropolitan Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,25.08.2023,29.09.2023,166 K E MASINGA ROAD - DURBAN - KZN - 4001,"There will be no clarification meeting. Bidders are requested to submit email queries related to the bid. All email queries are to be submitted by 2023-09-14. Emailed questions and answers will be consolidated and posted on eTenders/Municipal website by 2023-09-21.
Technical:
Simphiwe Masondo
 031-322 5111
Contractual:
Nonkululeko Gama
031-322 5064",NONKULULEKO GAMA,NONKULULEKO.GAMA@DURBAN.GOV.ZA,031-322-5064,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=fa54794b-c2bb-409e-bc1f-81248712d241.pdf&downloadedFileName=INSTRUCTION+-+Submission+of+Tender+Documentation+Download+from+the+eTender+Portal.pdf
Civil engineering,Tender t/ing/025/2023 - construction of 40ml raw water balancing dam and associated works,24/08/2023,T/ING/025/2023,George Municipality,Request for Bid(Open-Tender),Western Cape,24.08.2023,27.09.2023,George Municipality - George - George - 6529,The special conditions are detailed in the tender advert and document.,Ms. Adelle Witbooi,george@zutari.com,044-805-5400,044-805-5400,Yes,Yes,"Wednesday, 06 September 2023 - 14:00",MS Teams,https://www.etenders.gov.za/home/Download/?blobName=adcdb41b-52e8-4095-ad38-8173be71cc62.pdf&downloadedFileName=Tender+T+ING+025+of+2023+ADVERT+%28final%29.pdf
Civil engineering,"Tender t/ing/024/2023 - tender for the construction of pacaltsdorp west, 14,5ml circular reservoir, pumpstation and associated infrastructure",24/08/2023,T/ING/024/2023,George Municipality,Request for Bid(Open-Tender),Western Cape,24.08.2023,27.09.2023,George Municipality - George - George - 6529,The special conditions are set out in the tender advert and document.,Ms. Liezel Small,liezel.small@rhdhv.com,044-802-0600,044-802-0600,Yes,Yes,"Wednesday, 06 September 2023 - 10:00",MS Teams,https://www.etenders.gov.za/home/Download/?blobName=67ceb1eb-db11-4956-a432-6728ad59179a.pdf&downloadedFileName=T+ING+024+of+2023+ADVERT+%28Final%29.pdf
Civil engineering,"Tender t/ing/026/2023 - construction of new pacaltsdorp (east) reservoir, water tower, pumpstation and associated works",24/08/2023,T/ING/026/2023,George Municipality,Request for Bid(Open-Tender),Western Cape,24.08.2023,28.09.2023,George Municipality - George - George - 6529,The specials conditions are detailed in the tender advert and document.,Ms. Adelle Witbooi,george@zutari.com,044-805-5400,044-805-5400,Yes,Yes,"Tuesday, 05 September 2023 - 09:00",MS Teams,https://www.etenders.gov.za/home/Download/?blobName=6775f992-fe21-4d64-885e-f449f4d3fe99.pdf&downloadedFileName=Tender+T+ING+026+of+2023+ADVERT+%28Final%29.pdf
Civil engineering,Tender t/ing/027/2023 - upgrade of thembalethu west bulk water pipeline (in-situ pipe cracking),24/08/2023,T/ING/027/2023,George Municipality,Request for Bid(Open-Tender),Western Cape,24.08.2023,27.09.2023,George Municipality - George - George - 6529,The special conditions are detailed in the tender advert and document.,Ms. Adelle Witbooi,george@zutari.com,044-805-5400,044-805-5400,Yes,Yes,"Tuesday, 05 September 2023 - 11:00",MS Teams,https://www.etenders.gov.za/home/Download/?blobName=3aaac09c-0b3c-4f35-8674-e1889433e7cd.pdf&downloadedFileName=Tender+T+ING+027+of+2023+ADVERT+%28Final%29.pdf
Rental and leasing activities,Provision of a comprehensive fleet management for leasing fleet and vehicle tracking system for 36 months.,24/08/2023,ALMT02/2023,Chief Albert Luthuli Municipality,Request for Bid(Open-Tender),Mpumalanga,24.08.2023,25.09.2023,28 KERK STREET - Carolina - Carolina - 1185,Tender document will be available on 28 August 2023,Mr. JA Nkosi,nkosija@albertluthuli.gov.za,017-843-4000,017-843-4000,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=13fc915c-889c-4a0f-a108-852f7d7e9ef3.pdf&downloadedFileName=Tender+Advert+2%2C3.pdf
Food and beverage service activities,Supply and delivery of branded and non-branded bottled water for a period of 36 months,24/08/2023,ALMT03/2023,Chief Albert Luthuli Municipality,Request for Bid(Open-Tender),Mpumalanga,24.08.2023,25.09.2023,28 KERK STREET - Carolina - Carolina - 1185,Tender document will be available - 25 August 2023.,Mr JA Nkosi,nkosija@albertluthuli.gov.za,017-843-4000,017-843-4000,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=57bd731f-f606-4b71-9a28-e42464ba3871.pdf&downloadedFileName=Tender+Advert+2%2C3.pdf
Construction of buildings,To appoint a service provider to repair and refurbish house 28.,24/08/2023,OBP 0299/2023/24,Onderstepoort Biological Products Limited,Request for Quotation,Gauteng,24.08.2023,07.09.2023,"100 old soutpan road, - Onderstepoort - pretoria - 0110",N/A,Indhir Naryan,indhir@obpvaccines.co.za,012-522-1500,N/A,Yes,Yes,"Thursday, 31 August 2023 - 11:00","100 Old Soutpan Road, Onderstepoort, pretoria",https://www.etenders.gov.za/home/Download/?blobName=7eab8b67-bb42-4042-a960-067b445dcf56.doc&downloadedFileName=RFQ+OBP299.203.24+REnovations+of+House+28.doc
Services: Functional (Including Cleaning and Security Services),Tender bsm 13/24: hygienic services for stellenbosch municipality for a period ending 30 june 2026.,24/08/2023,BSM 13/24,Stellenbosch Municipality,Request for Bid(Open-Tender),Western Cape,24.08.2023,02.10.2023,Ehrel Maletzky - Stellenbosch - Stellenbosch - 7600,Will be inserted within the tender document,Ehrel Maletzky,Ehrel.Maletzky@stellenbosch.gov.za,021-808-8513,N/A,Yes,Yes,"Wednesday, 13 September 2023 - 10:00","in Boardroom A, 1st Floor Ecclesia Building, Stellenbosch",https://www.etenders.gov.za/home/Download/?blobName=3f943059-7e1f-4868-b3ea-8e39d2cf0228.pdf&downloadedFileName=Tender+BSM+13+24+Hygienic+Services+for+Stellenbosch+Municipality+for+a+period+ending+30+June+2026+with+adverts.pdf
Supplies: General,Supply and installation of aircon units at arc bethlehem,24/08/2023,SG-RFQ16474,Agricultural Research Council,Request for Quotation,Free State,24.08.2023,01.09.2023,"R76, Lindley Road - Blydskapweg - Bethlehem - 9700",N/A,Mr Theo Gropp,mahlabar@arc.agric.za,058-307-3464,N/A,Yes,Yes,"Monday, 28 August 2023 - 11:00",Agric Research Council - Small Grain,"https://www.etenders.gov.za/home/Download/?blobName=e30ee67a-9983-43ec-a226-06b909894694.pdf&downloadedFileName=SBD+6.1+Regulation+2022.pdf, https://www.etenders.gov.za/home/Download/?blobName=4a8005a1-66b4-444f-94b6-55d4baf03b14.pdf&downloadedFileName=SBD+4+-+new.pdf, https://www.etenders.gov.za/home/Download/?blobName=5f665b98-a3b0-4caf-a543-c457962db63a.rtf&downloadedFileName=RFQ16474.rtf"
Education,Implementing service provider vpn service (300-515spvi) x 1,24/08/2023,RFQ9611 Re Issue,Broadband Infraco SOC,Request for Quotation,Gauteng,24.08.2023,30.08.2023,2040 Octave Road - Honeydew - Honeydew - 2040,N/A,Thato Diratsagae,thato.diratsagae@infraco.co.za,011-235-1600,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=f151cfc0-f689-4910-83c1-ea1093bba64d.pdf&downloadedFileName=RFQ+9611+VPN+Training+Re+Issue.pdf
Education,Certified fiber optic design specialist (cfos/d) training for fourteen (14) people,24/08/2023,RFQ 10199,Broadband Infraco SOC,Request for Quotation,Gauteng,24.08.2023,30.08.2023,2040 Octave Road - Honeydew - Honeydew - 2040,N/A,Thato Diratsagae,thato.diratsagae@infraco.co.za,011-235-1600,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=9be2cc17-ecbd-4f92-9e1d-9c5118683dd3.pdf&downloadedFileName=RFQ+10199+Certified+Fiber+Optic+Design+Specialist+%28CFOS+D%29+Training.pdf
Services: General,The supply and deliver golf umbrellas for signals department.,24/08/2023,PR10340577,Passenger Rail Agency of South Africa,Request for Quotation,KwaZulu-Natal,24.08.2023,01.09.2023,65 MASABALALA YENGWA AVENUE - DURBAN STATION - DURBAN - 4001,"BD DOCUMENTS MUST BE DOWNLOADED FROM E-TENDERS' WEBSITE OR CAN BE REQUESTED BY E-MAIL FROM JZwane@metrorail.co.za
BID DOCUMENTS MUST BE   E-MAILED TO:Metkznquote3@prasa.com",JOHNSON ZWANE,jzwane@metrorail.co.za,031-813-0102,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=87ebf347-d1b2-43a4-8360-63a9611a75fa.pdf&downloadedFileName=PR10340577.pdf
Services: General,"Commercial banks registered in terms of the banks act,1990 (act 94 of 1990) are invited to tender for the provision of banking services for the garden route district municipality for a period of 5 years.-",24/08/2023,GRDM/06/23-24,Garden Route District Local Municipality,Request for Quotation,Western Cape,24.08.2023,03.11.2023,54 YORK STREET - GEORGE - GEORGE - 6530,N/A,Bukelwa Ndzinde,bukelwa@gardenroute.gov.za,044-803-1338,N/A,Yes,Yes,"Thursday, 14 September 2023 - 11:00",VIA MICROSOFT TEAMS,https://www.etenders.gov.za/home/Download/?blobName=e94f3047-9691-4166-ae5a-6b80d6f087ca.pdf&downloadedFileName=GRDM0623-24+Banking+Services.pdf
Other service activities,Appointment of a catering company to provide catering for cedara college for a period of thirty-six (36) months.,24/08/2023,DARD14/2023,Kwazulu Natal - Department of Agriculture and Rural Develeopment,Request for Bid(Open-Tender),KwaZulu-Natal,24.08.2023,18.09.2023,1 CEDARA ROAD - CEDARA - PIETERMARITZBURG - 3200,N/A,Nompumelelo Dladla,nompumelelo.dladla@kzndard.gov.za,033-355-9369,N/A,Yes,Yes,"Monday, 04 September 2023 - 10:00",Cedara Auditorium,https://www.etenders.gov.za/home/Download/?blobName=aee44ffa-78dc-4c2e-b36e-111b7b98641e.pdf&downloadedFileName=DARD+14.2023+Cedara+Catering+23.08.2023.pdf
Other service activities,Appointment of a catering company to provide fixed-price catering for owen sithole college for a period of thirty-six (36) months,24/08/2023,DARD15/2023,Kwazulu Natal - Department of Agriculture and Rural Develeopment,Request for Bid(Open-Tender),KwaZulu-Natal,24.08.2023,18.09.2023,1 CEDARA ROAD - CEDARA - PIETERMARITZBURG - 3200,N/A,Nompumelelo Dladla,nompumelelo.dladla@kzndard.gov.za,033-355-9369,N/A,Yes,Yes,"Tuesday, 05 September 2023 - 11:00",OSCA Main Hall Empangeni,https://www.etenders.gov.za/home/Download/?blobName=2fae36b8-f6ac-4f8d-8373-ec9731395a28.pdf&downloadedFileName=DARD+15.2023+Cedara+Catering+23.08.2023.pdf
Legal and accounting activities,Appointment of a legal firm to provider labour law services,24/08/2023,RFP/2021/000689,Public Service Sector Education and Training Authority,Request for Quotation,Gauteng,24.08.2023,01.09.2023,"Woodpecker Building, 177 Dyer Road - Hatfield - Pretoria - 0183",N/A,Ursula Mathonsi,ursulam@pseta.org.za,012-423-5700,N/A,NO,NO,,,https://www.etenders.gov.za/home/Download/?blobName=cda89b9e-26c6-44b7-8118-856db2d91d49.zip&downloadedFileName=RFP-2021-000689.zip
Supplies: Computer Equipment,supply and delivery of three (3) desktops and three (3) laptops,24/08/2023,RFQ 530-08-2023,Lejweleputswa District Municipality,Request for Quotation,Free State,24.08.2023,31.08.2023,Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9460,N/A,Mr. M.G Rantsatsi,moletsane@lejwe.co.za,057-101-0187,N/A,NO,NO,,,"https://www.etenders.gov.za/home/Download/?blobName=89e7b647-fcc5-4a9f-9974-7c4a18bfd946.pdf&downloadedFileName=SPECIFICATIONS-RFQ+530-08-2023-+SUPPLY+AND+DELIVERY+OF+THREE+%283%29.pdf, https://www.etenders.gov.za/home/Download/?blobName=d4f0597c-2d3c-4d39-a33a-951eeee07c53.pdf&downloadedFileName=RFQ+530-08-2023-+SUPPLY+AND+DELIVERY+OF+THREE+%283%29+DESKTOPS+AND+TH.pdf"
Services: Civil,The rehabilitation of road p50-3 (km 0.00 to km 30.00) empangeni region - kwazulu-natal province,24/08/2023,IDTKN24DOT001,Independent Development Trust,Request for Bid(Open-Tender),KwaZulu-Natal,24.08.2023,29.09.2023,Road P-50 - Empangeni - Empangeni - 3880,N/A,N Ndwandwe,NondumisoN@idt.org.za,031-369-7400,031-307-3442,Yes,Yes,"Monday, 04 September 2023 - 11:00","4th Floor, The Marine Building, 22 Dorothy Nyembe Street, Durban, 4000",https://www.etenders.gov.za/home/Download/?blobName=5760f04f-5a48-4a50-8126-6eb2ff598529.pdf&downloadedFileName=CIDB+ADVERT+-+IDTKN24DOT001.pdf
Services: Building,Maintenance of elevators at o. r. tambo international airport for a period of 5 years,24/08/2023,ORTIA7122/2023/RFP,Airports Company of South Africa,Request for Proposal,Gauteng,24.08.2023,02.10.2023,O R Tambo International Airport - Kempton Park - Gauteng - 0001,N/A,Motlhabane Molamu,motlhabane.molamu@airports.co.za,011-409-3999,N/A,Yes,Yes,"Monday, 04 September 2023 - 10:00","O R Tambo International Airport, North Wing,  3rd Floor, ACSA Offices, Kudu Boardroom","https://www.etenders.gov.za/home/Download/?blobName=a990472f-b465-40ad-a886-2b63916867d5.pdf&downloadedFileName=CIDB+RFP+Bid+document+Maintenance+of+Elevators.pdf, https://www.etenders.gov.za/home/Download/?blobName=8fc6cdbb-06b7-4987-93a6-59646d4945b0.pdf&downloadedFileName=NEC+Maintenance+of+Elevators+.pdf"
Services: Professional,Provision for professional graphic designing services,24/08/2023,CO 23/08 O Rev 01,Majuba Tvet college,Request for Bid(Open-Tender),KwaZulu-Natal,24.08.2023,18.09.2023,83 Allen Street - CBD - CBD - 2940,Please see attached advert for payment details.,Peggy Mazibuko,peggy.mazibuko@majuba.edu.za,034-326-4888,034-326-4111,Yes,Yes,"Tuesday, 12 September 2023 - 11:00",Will be emailed with the document,https://www.etenders.gov.za/home/Download/?blobName=10f875a1-b537-4831-8048-7866990abb83.pdf&downloadedFileName=GRAPHIC+DESIGNING+SERVICES.pdf
